No,Kecamatan,Desa,Puskesmas
1,Arut Selatan,Baru,Puskesmas Natai Palingkau
2,Arut Selatan,Kenambui,Puskesmas Runtu
3,Arut Selatan,Kumpai Batu Atas,Puskesmas Kumpai Batu Atas
4,Arut Selatan,Kumpai Batu Bawah,Puskesmas Kumpai Batu Atas
5,Arut Selatan,Madurejo,Puskesmas Madurejo
6,Arut Selatan,Medang Sari,Puskesmas Natai Palingkau
7,Arut Selatan,Mendawai,Puskesmas Mendawai
8,Arut Selatan,Mendawai Seberang,Puskesmas Mendawai
9,Arut Selatan,Natai Baru,Puskesmas Natai Palingkau
10,Arut Selatan,Natai Raya,Puskesmas Natai Palingkau
11,Arut Selatan,Pasir Panjang,Puskesmas Madurejo
12,Arut Selatan,Raja,Puskesmas Arut Selatan
13,Arut Selatan,Raja Seberang,Puskesmas Arut Selatan
14,Arut Selatan,Rangda,Puskesmas Runtu
15,Arut Selatan,Runtu,Puskesmas Runtu
16,Arut Selatan,Sidorejo,Puskesmas Madurejo
17,Arut Selatan,Sulung,Puskesmas Runtu
18,Arut Selatan,Tanjung Putri,Puskesmas Kumpai Batu Atas
19,Arut Selatan,Tanjung Terantang,Puskesmas Kumpai Batu Atas
20,Arut Selatan,Umpang,Puskesmas Runtu
21,Arut Utara,Gandis,Puskesmas Arut Utara
22,Arut Utara,Kerabu,Puskesmas Arut Utara
23,Arut Utara,Nanga Mua,Puskesmas Arut Utara
24,Arut Utara,Panahan,Puskesmas Sambi
25,Arut Utara,Pandau,Puskesmas Sambi
26,Arut Utara,Pangkut,Puskesmas Arut Utara
27,Arut Utara,Penyombaan,Puskesmas Sambi
28,Arut Utara,Riam,Puskesmas Sambi
29,Arut Utara,Sambi,Puskesmas Sambi
30,Arut Utara,Sukarami,Puskesmas Arut Utara
31,Arut Utara,Sungai Dau,Puskesmas Sambi
32,Kotawaringin Lama,Babual Baboti,Puskesmas Riam Durian
33,Kotawaringin Lama,Dawak,Puskesmas Riam Durian
34,Kotawaringin Lama,Ipuh Bangun Jaya,Puskesmas Ipuh Bangun Jaya
35,Kotawaringin Lama,Kinjil,Puskesmas Riam Durian
36,Kotawaringin Lama,Kondang,Puskesmas Ipuh Bangun Jaya
37,Kotawaringin Lama,Kotawaringin Hilir,Puskesmas Kotawaringin Lama
38,Kotawaringin Lama,Kotawaringin Hulu,Puskesmas Kotawaringin Lama
39,Kotawaringin Lama,Lalang,Puskesmas Kotawaringin Lama
40,Kotawaringin Lama,Palih Baru,Puskesmas Ipuh Bangun Jaya
41,Kotawaringin Lama,Riam Durian,Puskesmas Riam Durian
42,Kotawaringin Lama,Rungun,Puskesmas Kotawaringin Lama
43,Kotawaringin Lama,Sagu Suka Mulya,Puskesmas Kotawaringin Lama
44,Kotawaringin Lama,Sakabulin,Puskesmas Riam Durian
45,Kotawaringin Lama,Suka Jaya,Puskesmas Riam Durian
46,Kotawaringin Lama,Suka Makmur,Puskesmas Ipuh Bangun Jaya
47,Kotawaringin Lama,Sumber Mukti,Puskesmas Riam Durian
48,Kotawaringin Lama,Tempayung,Puskesmas Riam Durian
49,Kumai,Batu Belaman,Puskesmas Kumai
50,Kumai,Bumi Harjo,Puskesmas Sungai Rangit
51,Kumai,Candi,Puskesmas Kumai
52,Kumai,Keraya,Puskesmas Teluk Bogam
53,Kumai,Kubu,Puskesmas Kumai
54,Kumai,Kumai Hilir,Puskesmas Kumai
55,Kumai,Kumai Hulu,Puskesmas Kumai
56,Kumai,Pangkalan Satu,Puskesmas Sungai Rangit
57,Kumai,Sabuai,Puskesmas Teluk Bogam
58,Kumai,Sabuai Timur,Puskesmas Teluk Bogam
59,Kumai,Sungai Bakau,Puskesmas Teluk Bogam
60,Kumai,Sungai Bedaun,Puskesmas Kumai
61,Kumai,Sungai Cabang,Puskesmas Teluk Bogam
62,Kumai,Sungai Kapitan,Puskesmas Kumai
63,Kumai,Sungai Sekonyer,Puskesmas Kumai
64,Kumai,Sungai Tendang,Puskesmas Kumai
65,Kumai,Teluk Bogam,Puskesmas Teluk Bogam
66,Kumai,Teluk Pulai,Puskesmas Teluk Bogam
67,Pangkalan Banteng,Amin Jaya,Puskesmas Karang Mulya
68,Pangkalan Banteng,Arga Mulya,Puskesmas Semanggang
69,Pangkalan Banteng,Berambai Makmur,Puskesmas Karang Mulya
70,Pangkalan Banteng,Karang Mulya,Puskesmas Karang Mulya
71,Pangkalan Banteng,Karang Sari,Puskesmas Karang Mulya
72,Pangkalan Banteng,Kebun Agung,Puskesmas Semanggang
73,Pangkalan Banteng,Marga Mulya,Puskesmas Semanggang
74,Pangkalan Banteng,Mulya Jadi,Puskesmas Karang Mulya
75,Pangkalan Banteng,Natai Kerbau,Puskesmas Karang Mulya
76,Pangkalan Banteng,Pangkalan Banteng,Puskesmas Semanggang
77,Pangkalan Banteng,Sungai Hijau,Puskesmas Semanggang
78,Pangkalan Banteng,Sido Mulyo,Puskesmas Semanggang
79,Pangkalan Banteng,Simpang Berambai,Puskesmas Karang Mulya
80,Pangkalan Banteng,Sungai Bengkuang,Puskesmas Semanggang
81,Pangkalan Banteng,Sungai Kuning,Puskesmas Semanggang
82,Pangkalan Banteng,Sungai Pakit,Puskesmas Karang Mulya
83,Pangkalan Banteng,Sungai Pulau,Puskesmas Karang Mulya
84,Pangkalan Lada,Kadipi Atas,Puskesmas Pandu Sanjaya
85,Pangkalan Lada,Lada Mandala Jaya,Puskesmas Pangkalan Lada
86,Pangkalan Lada,Makarti Jaya,Puskesmas Pandu Sanjaya
87,Pangkalan Lada,Pandu Sanjaya,Puskesmas Pandu Sanjaya
88,Pangkalan Lada,Pangkalan Dewa,Puskesmas Pangkalan Lada
89,Pangkalan Lada,Pangkalan Durin,Puskesmas Sungai Rangit
90,Pangkalan Lada,Pangkalan Tiga,Puskesmas Pangkalan Lada
91,Pangkalan Lada,Purbasari,Puskesmas Sungai Rangit
92,Pangkalan Lada,Sungai Melawen,Puskesmas Pandu Sanjaya
93,Pangkalan Lada,Sungai Rangit Jaya,Puskesmas Sungai Rangit
94,Pangkalan Lada,Sumber Agung,Puskesmas Sungai Rangit